"","consumer","resource"
"1021",111,36
"1022",111,37
"1023",111,38
"1024",111,41
"1025",111,42
"1026",111,43
"1027",111,51
"1028",111,52
"1029",111,75
"1030",111,84
"1031",111,85
"1032",111,86
"1033",111,87
"1034",111,88
"1035",111,89
"1036",111,90
"1037",111,91
"1038",111,93
"1039",111,98
"1040",111,100
"1041",111,101
"1042",112,11
"1043",112,22
"1044",112,40
"1045",112,41
"1046",112,42
"1047",112,43
"1048",112,75
"1049",112,91
"1050",112,100
"1051",112,101
"1052",113,101
"1053",114,12
"1054",114,13
"1055",114,15
"1056",114,16
"1057",114,17
"1058",114,18
"1059",114,19
"1060",114,20
"1061",114,21
"1062",114,22
"1063",114,23
"1064",114,24
"1065",114,25
"1066",114,26
"1067",114,28
"1068",114,29
"1069",114,30
"1070",114,31
"1071",114,32
"1072",114,33
"1073",114,34
"1074",114,35
"1075",114,36
"1076",114,37
"1077",114,38
"1078",114,45
"1079",114,46
"1080",114,47
"1081",114,49
"1082",114,50
"1083",114,51
"1084",114,52
"1085",114,53
"1086",114,54
"1087",114,61
"1088",114,62
"1089",114,63
"1090",114,64
"1091",114,69
"1092",114,71
"1093",114,73
"1094",114,76
"1095",114,77
"1096",114,78
"1097",114,82
"1098",114,83
"1099",114,84
"1100",114,85
"1101",114,86
"1102",114,88
"1103",114,89
"1104",114,90
"1105",114,93
"1106",115,101
"1107",115,102
"1108",116,12
"1109",116,13
"1110",116,14
"1111",116,22
"1112",116,23
"1113",116,33
"1114",116,34
"1115",116,35
"1116",116,36
"1117",116,37
"1118",116,38
"1119",116,45
"1120",116,46
"1121",116,47
"1122",116,51
"1123",116,53
"1124",116,54
"1125",116,61
"1126",116,62
"1127",116,63
"1128",116,72
"1129",116,74
"1130",116,75
"1131",116,78
"1132",116,79
"1133",116,80
"1134",116,81
"1135",116,83
"1136",116,84
"1137",116,85
"1138",116,86
"1139",116,87
"1140",116,88
"1141",116,89
"1142",116,90
"1143",116,93
"1144",117,3
"1145",117,37
"1146",117,38
"1147",117,46
"1148",117,47
"1149",117,86
"1150",117,87
"1151",117,89
"1152",117,90
"1153",117,93
"1154",118,3
"1155",118,50
"1156",118,51
"1157",118,52
"1158",118,53
"1159",118,54
"1160",119,32
"1161",119,33
"1162",119,34
"1163",119,35
"1164",119,36
"1165",119,37
"1166",119,38
"1167",119,45
"1168",119,46
"1169",119,84
"1170",119,85
"1171",119,86
"1172",119,87
"1173",119,88
"1174",119,89
"1175",119,90
"1176",120,3
"1177",121,11
"1178",121,15
"1179",121,17
